task_index,slug,prompt,event,close_chunk,burst_chunk,release_chunk,close_gripper_mean,burst_gripper_mean,release_gripper_mean,close_l17_p99,burst_l17_p99,release_l17_p99,close_l17_top,burst_l17_top,release_l17_top
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,3,30,30,35,0.9643115984315157,0.9643115984315157,0.007953622354638578,3296.0,3296.0,1778.7200000000012,239616.0,239616.0,142336.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,4,45,48,49,0.6058729265163839,0.9905532289771201,0.023620787603652476,1650.7200000000012,2528.0,1816.0,99840.0,158720.0,129536.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,5,56,59,60,0.9236849135628821,0.9106878347592116,0.05837748000819684,1561.3600000000006,2048.0,1921.3600000000006,75776.0,97280.0,87552.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,6,61,63,63,0.8917007038970592,0.007328462273418903,0.007328462273418903,1736.0,2160.0,2160.0,140288.0,148480.0,148480.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,7,64,70,70,0.8477103699185911,0.006398663883197308,0.006398663883197308,1442.7200000000012,1656.0,1656.0,102912.0,86016.0,86016.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,8,74,79,79,0.6837580485673606,0.007424396722644568,0.007424396722644568,1584.0,2869.4400000000023,2869.4400000000023,76288.0,164864.0,164864.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,9,81,85,91,0.8291562720038115,0.6166750978249669,0.011694839421862361,1849.3600000000006,2704.0,1672.0,143360.0,156672.0,106496.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,10,94,96,97,0.9444326297822,0.4298289373982906,0.004838741332894564,2194.720000000001,3026.720000000001,1512.0,108032.0,112640.0,122368.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,11,100,100,105,0.8919346810562969,0.8919346810562969,0.006646544038814307,2208.0,2208.0,1592.0,111616.0,111616.0,82432.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,12,106,106,108,0.8551601253570198,0.8551601253570198,0.008669431005191802,1953.3600000000006,1953.3600000000006,1513.3600000000006,102400.0,102400.0,77312.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,13,109,110,113,0.7381530481381058,0.18857384063524607,0.0058435710103333,1472.0,1544.0,1240.0,70656.0,91136.0,82944.0
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,1,2,4,4,0.8419307419649005,0.007297823637020588,0.007297823637020588,1472.0,1512.0,1512.0,116736.0,96768.0,96768.0
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,2,10,11,13,0.6466827340492843,0.5877356979996801,0.26662014924690125,1489.3600000000006,3696.0,1298.7200000000012,43520.0,165888.0,66048.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,1,7,8,11,0.6735489823817791,0.8574109169780019,0.047770014214557406,1168.0,5381.440000000002,1537.3600000000006,59648.0,292864.0,78848.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,2,18,19,23,0.8489329416946293,0.8733536392576933,0.022066093326884514,1680.0,6176.0,2130.720000000001,88064.0,337920.0,102400.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,3,26,27,28,0.7978546817810119,0.8759686858082415,0.03085513698059321,1369.3600000000006,5253.440000000002,1360.0,52992.0,317440.0,75264.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,4,36,39,41,0.8815638085450889,0.8704548953022482,0.006019381640070677,1409.3600000000006,2370.720000000001,1672.0,68608.0,129536.0,84480.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,5,49,50,52,0.8992629605785131,0.8613360751170517,0.007270043467801811,1233.3600000000006,2917.4400000000023,1192.0,64256.0,192512.0,90624.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,6,83,83,84,0.7806575572332145,0.7806575572332145,0.018502192600393298,1305.3600000000006,1305.3600000000006,1272.0,55808.0,55808.0,66560.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,7,88,89,90,0.8565398373437406,0.854441627085507,0.041666904713737976,1424.0,5253.440000000002,1228.0800000000017,71680.0,331776.0,66560.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,8,94,101,104,0.745450520177704,0.8565913215357902,0.022882776668411493,1489.3600000000006,4288.0,1304.0,86016.0,266240.0,81920.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,9,107,113,119,0.6990729588869691,0.9082935754984975,0.011977648894286156,1240.0,3888.0,1793.3600000000006,67072.0,224256.0,72192.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,10,124,126,132,0.7328444653819263,0.9429995782814385,0.006351615380662682,1056.0,5962.880000000005,2480.0,39424.0,313344.0,116736.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,11,139,141,144,0.8434402271697164,0.9081331517254472,0.012984109427565336,1136.0,5344.0,1348.0800000000017,61440.0,348160.0,60928.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,12,157,159,163,0.788802921355033,0.8922293038048269,0.004993178017634155,1417.3600000000006,3778.720000000001,3312.0,63488.0,278528.0,140288.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,13,168,171,175,0.7551945342133642,0.8847494242143632,0.005471137964451313,1304.0,4869.440000000002,3216.0,61952.0,266240.0,183296.0
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,14,179,180,180,0.8854759397016764,0.9124875964122177,0.9124875964122177,1057.3600000000006,3298.720000000001,3298.720000000001,41216.0,206848.0,206848.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,1,10,10,12,0.7471016832523226,0.7471016832523226,0.009040161683893204,5248.0,5248.0,1872.0,299008.0,299008.0,91136.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,2,15,16,18,0.6764689274631501,0.6715111694095731,0.009001485967433453,2176.0,5989.440000000002,1568.0,91136.0,301056.0,79360.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,3,32,33,36,0.8652690160736203,0.8232133717420221,0.013164542470872401,3200.0,3296.0,1618.7200000000012,122368.0,210944.0,55808.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,4,39,40,42,0.8705719911488771,0.7186436779046057,0.008609409153699876,1944.0,4928.0,1400.0,86528.0,284672.0,78848.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,5,52,53,55,0.7070853715089084,0.9891509392711757,0.08310578757373092,2144.0,3312.0,1288.0,77312.0,114688.0,62720.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,6,57,58,65,0.6553085431369899,0.7522867242091299,0.0066394524975836285,2176.0,6725.440000000002,1372.0800000000017,102400.0,241664.0,78336.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,7,67,68,69,0.8518435684510947,0.7810009467428685,0.012250148815172914,1816.0,3568.0,2712.1600000000035,59136.0,220160.0,148480.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,8,73,74,77,0.7792668960657477,0.6901637185754658,0.004216690008544922,2384.0,4197.440000000002,2025.3600000000006,94208.0,194560.0,105984.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,9,82,82,83,0.6751493406220793,0.6751493406220793,0.027504483070403332,3874.720000000001,3874.720000000001,2384.0,160768.0,160768.0,101888.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,10,90,91,92,0.8725817895535826,0.907954599827671,0.04237464450141192,1426.7200000000012,1993.3600000000006,1576.0,52992.0,90624.0,72704.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,11,95,96,97,0.7765786338214515,0.8461105082848192,0.05361271914310455,1425.3600000000006,3376.0,1744.0,55808.0,200704.0,70656.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,12,102,104,105,0.7587279214483025,0.905595063295448,0.010425699858409167,1377.3600000000006,5861.440000000002,1458.7200000000012,49152.0,337920.0,70144.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,13,108,110,113,0.638027591407138,0.8765625954338193,0.04273113647772074,914.7200000000012,2498.720000000001,1089.3600000000006,42240.0,169984.0,76800.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,14,117,117,123,0.895696797312677,0.895696797312677,0.007538052079242469,3744.0,3744.0,3058.720000000001,167936.0,167936.0,123392.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,15,129,130,131,0.8723161090335491,0.9222567288061024,0.024222925006198884,1920.0,2416.0,1952.0,94208.0,136192.0,116736.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,16,134,134,136,0.8959753737110496,0.8959753737110496,0.004155591514098645,2192.0,2192.0,1778.7200000000012,133120.0,133120.0,120832.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,17,141,142,143,0.9439580765561698,0.6740956845907332,0.05164291345537306,1800.0,3232.0,1592.0,75776.0,201728.0,118272.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,18,145,145,146,0.8223965493506672,0.8223965493506672,0.011797245647370813,4128.0,4128.0,3173.4400000000023,257024.0,257024.0,150528.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,19,154,156,159,0.7123898880508304,0.8790931354445815,0.03786952542096377,940.0,4050.720000000001,1536.0,42752.0,270336.0,113664.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,20,161,162,163,0.8484528105840682,0.9269077429389954,0.05132119585463405,1033.3600000000006,4082.720000000001,2066.720000000001,32256.0,235520.0,130560.0
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,21,166,170,175,0.91962890158993,0.9522291417225481,0.005103927232825756,2784.0,2866.720000000001,1176.0,162816.0,192512.0,74752.0
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,1,6,8,17,0.6295659663971186,0.9575644200592877,0.03632413556411863,1322.7200000000012,4805.440000000002,1753.3600000000006,78336.0,258048.0,107008.0
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,2,18,18,24,0.9812600005790233,0.9812600005790233,0.009444250416344406,2496.0,2496.0,1618.7200000000012,111616.0,111616.0,69632.0
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,3,48,49,51,0.90695311529181,0.9667650174347878,0.01614050874153972,1456.0,7232.0,1832.0,64000.0,335872.0,152576.0
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,4,62,63,75,0.9550134516423584,0.980722565047896,0.049257720243448024,1864.0,4640.0,1104.0,67072.0,171008.0,75264.0
